model,cell_type,test_set,pearson_r,seed,n_samples,source,config
AG MPRA (Fine-tuned),K562,snv_abs,0.927,1042,45543,joint training-time,joint multi-head
AG MPRA (Fine-tuned),K562,snv_abs,0.927,2042,45543,joint training-time,joint multi-head
AG MPRA (Fine-tuned),K562,snv,0.712,42,45543,joint training-time,joint multi-head
AG MPRA (Fine-tuned),K562,snv,0.715,1042,45543,joint training-time,joint multi-head
AG MPRA (Fine-tuned),K562,snv,0.712,2042,45543,joint training-time,joint multi-head
AG MPRA (Fine-tuned),HepG2,reference,0.931,42,31435,joint training-time,joint multi-head
AG MPRA (Fine-tuned),HepG2,reference,0.931,1042,31435,joint training-time,joint multi-head
AG MPRA (Fine-tuned),HepG2,reference,0.931,2042,31435,joint training-time,joint multi-head
AG MPRA (Fine-tuned),HepG2,designed,0.742,42,22962,joint training-time,joint multi-head
AG MPRA (Fine-tuned),HepG2,designed,0.736,1042,22962,joint training-time,joint multi-head
AG MPRA (Fine-tuned),HepG2,designed,0.748,2042,22962,joint training-time,joint multi-head
AG MPRA (Fine-tuned),SKNSH,reference,0.920,42,31435,joint training-time,joint multi-head
AG MPRA (Fine-tuned),SKNSH,reference,0.920,1042,31435,joint training-time,joint multi-head
AG MPRA (Fine-tuned),SKNSH,reference,0.920,2042,31435,joint training-time,joint multi-head
AG MPRA (Fine-tuned),SKNSH,designed,0.798,42,22962,joint training-time,joint multi-head
AG MPRA (Fine-tuned),SKNSH,designed,0.792,1042,22962,joint training-time,joint multi-head
AG MPRA (Fine-tuned),SKNSH,designed,0.804,2042,22962,joint training-time,joint multi-head
